from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
10860,11940,0,240,,
10860,11941,0,240,,
10860,11942,0,240,,
10860,11943,0,240,,
10860,12020,0,240,,
10860,12022,0,240,,
10860,12230,0,240,,
10860,12231,0,240,,
10860,12332,0,240,,
10860,8020,2,120,,
10860,8033,2,120,,
10865,10866,0,240,,
10865,10867,0,240,,
10865,12693,0,240,,
10865,4242,0,240,,
10865,4471,0,240,,
10865,4568,0,240,,
10865,8037,0,240,,
10865,989,0,240,,
10866,10865,0,240,,
10866,10866,2,120,,
10866,10867,0,240,,
10866,12693,0,240,,
10866,4242,2,120,,
10866,4459,0,240,,
10866,4471,0,240,,
10866,4568,2,120,,
10866,8037,0,240,,
10866,989,2,120,,
10867,8037,2,120,,
10874,7117,2,300,,
10879,10879,0,240,,
10879,10882,0,240,,
10879,4018,2,300,,
10879,4228,2,300,,
10880,10880,0,240,,
10880,10881,0,240,,
10880,11764,2,360,,
10880,11882,0,240,,
10880,5045,0,240,,
10880,5122,0,240,,
10880,5262,0,240,,
10880,5494,0,240,,
10880,5667,0,240,,
10880,5668,0,240,,
10880,5768,0,240,,
10880,5769,0,240,,
10880,5793,0,240,,
10880,5891,0,240,,
10880,6467,0,240,,
10880,8057,0,240,,
10880,8060,0,240,,
10881,10880,0,240,,
10881,11882,0,240,,
10881,5045,0,240,,
10881,5122,0,240,,
10881,5262,0,240,,
10881,5494,0,240,,
10881,5667,0,240,,
10881,5768,2,300,,
10881,5769,2,300,,
10881,5793,0,240,,
10881,5891,2,300,,
10882,10879,0,240,,
10882,10882,0,240,,
10882,4018,2,300,,
10884,10884,0,240,,
10884,5844,0,240,,
10884,8056,2,300,,
10884,8061,2,300,,
10885,10885,0,240,,
10885,10886,0,240,,
10885,10887,0,240,,
10885,10888,0,240,,
10885,10889,0,240,,
10885,10890,0,240,,
10885,10891,0,240,,
10885,10892,0,240,,
10885,12655,0,240,,
10885,12793,0,240,,
10886,10885,0,240,,
10886,10887,0,240,,
10886,10888,0,240,,
10886,10889,0,240,,
10886,10890,0,240,,
10886,10892,0,240,,
10886,12655,0,240,,
10886,12793,0,240,,
10888,10885,0,240,,
10888,10886,0,240,,
10888,10887,0,240,,
10888,10888,0,240,,
10888,10889,0,240,,
10888,10890,0,240,,
10888,10891,0,240,,
10888,10892,0,240,,
10888,12655,0,240,,
10888,12793,0,240,,
10890,10885,0,240,,
10890,10888,0,240,,
10890,10889,0,240,,
10890,12655,0,240,,
10890,12793,0,240,,
10891,10885,0,240,,
10891,10886,0,240,,
10891,10887,0,240,,
10891,10888,0,240,,
10891,10889,0,240,,
10891,10890,0,240,,
10891,10891,0,240,,
10891,10892,0,240,,
10891,12655,0,240,,
10891,12793,0,240,,
10892,10885,0,240,,
10892,10886,0,240,,
10892,10887,0,240,,
10892,10888,0,240,,
10892,10889,0,240,,
10892,10890,0,240,,
10892,10892,0,240,,
10892,12655,0,240,,
10893,10316,2,300,,
10893,12673,2,300,,
10893,7828,0,240,,
10895,779,2,480,,
1091,8753,2,300,,
1091,8762,2,300,,
10914,10914,0,240,,
10914,5148,0,240,,
10914,5252,0,240,,
10914,5890,0,240,,
10914,7639,0,240,,
10916,11664,2,480,,
10916,5180,0,240,,
10916,5183,2,360,,
10916,6060,2,360,,
10916,9720,2,480,,
1092,902,0,240,,
1092,915,0,240,,
10921,1685,2,300,,
10921,1736,2,300,,
10929,2203,0,240,,
10929,2252,0,240,,
10929,2397,0,240,,
10929,3535,0,240,,
10929,5989,0,240,,
10929,6984,0,240,,
10929,8052,0,240,,
10929,8065,0,240,,
10947,11867,0,240,,
10947,4461,0,240,,
10948,10914,0,240,,
10948,5148,0,240,,
10948,5252,0,240,,
10948,5890,0,240,,
10948,7639,0,240,,
10948,8055,0,240,,
10948,8062,0,240,,
10959,10961,2,300,,
10959,11759,2,420,,
10959,1896,2,420,,
10960,10958,2,420,,
10960,10961,2,360,,
10961,10958,2,300,,
10961,11759,2,360,,
10961,1896,2,420,,
10966,13003,2,360,,
10966,549,0,240,,
10967,13003,2,360,,
10967,549,2,360,,
10968,313,2,360,,
10968,365,0,240,,
10968,366,0,240,,
10969,313,2,360,,
10969,365,0,240,,
10971,10972,0,240,,
10971,8747,0,240,,
10971,8756,0,240,,
10971,9952,0,240,,
10972,10034,2,300,,
10972,10971,0,240,,
10972,10972,0,240,,
10972,8747,0,240,,
10972,8756,0,240,,
10972,9952,0,240,,
10976,230,2,300,,
11,11427,2,300,,
11,11542,0,240,,
110,11113,0,240,,
110,322,0,240,,
110,569,0,240,,
11007,1312,0,240,,
11007,1350,0,240,,
11009,663,0,240,,
11009,706,0,240,,
11010,793,0,240,,
11010,842,0,240,,
11011,1312,0,240,,
11011,1350,0,240,,
11013,1042,0,240,,
11013,1105,0,240,,
11014,337,0,240,,
11014,463,2,300,,
11015,663,0,240,,
11015,706,0,240,,
11016,113,0,240,,
11016,56,0,240,,
11020,165,0,240,,
11020,251,0,240,,
11021,337,2,300,,
11021,463,2,300,,
11022,793,0,240,,
11022,842,0,240,,
11023,1042,0,240,,
11023,1105,0,240,,
11029,11029,0,240,,
11032,11032,0,240,,
11032,11998,0,240,,
1105,11013,2,300,,
1105,11023,0,240,,
11074,5456,0,240,,
11074,5516,0,240,,
11075,6051,0,240,,
11075,9023,0,240,,
11076,6051,0,240,,
11076,9022,0,240,,
11077,5474,2,360,,
11077,5498,2,360,,
11078,5474,2,360,,
11078,5498,2,360,,
1108,1514,0,240,,
1108,1596,0,240,,
11088,11227,2,360,,
11088,11278,2,300,,
11088,11279,2,300,,
11088,12548,2,300,,
11095,8752,2,300,,
11095,8761,2,300,,
11095,906,0,240,,
11095,911,0,240,,
11113,110,0,240,,
11113,569,2,300,,
11113,59,2,300,,
11113,60,0,240,,
11114,7645,2,540,,
11122,5561,0,240,,
11122,5623,0,240,,
11123,6019,2,300,,
11123,6073,0,240,,
11124,6019,2,300,,
11124,6073,0,240,,
11126,12196,2,300,,
11126,9291,0,240,,
11126,9293,2,360,,
11127,5025,2,300,,
11127,5067,0,240,,
11128,5138,0,240,,
11128,8542,0,240,,
11129,5138,0,240,,
11129,8542,0,240,,
11130,5025,2,300,,
11130,5067,0,240,,
11131,5651,0,240,,
11131,5683,0,240,,
11132,5651,0,240,,
11132,5683,0,240,,
11133,5715,0,240,,
11133,5729,0,240,,
11134,5715,0,240,,
11134,5729,0,240,,
11135,5756,0,240,,
11135,5781,0,240,,
11137,5918,0,240,,
11137,5961,0,240,,
1116,12631,2,300,,
1116,12632,2,300,,
11196,11199,0,240,,
11199,11196,0,240,,
1120,1971,0,240,,
1120,2062,2,300,,
11200,1769,2,300,,
11204,2264,0,240,,
11204,2444,0,240,,
11208,6486,0,240,,
11208,6566,0,240,,
11208,6802,0,240,,
11216,11695,0,240,,
11216,9087,0,240,,
11221,10360,2,360,,
11221,11088,2,300,,
11221,11221,0,240,,
11221,11227,0,240,,
11221,11260,2,420,,
11221,12764,2,360,,
11221,932,2,420,,
11227,10360,2,360,,
11227,11260,2,420,,
11243,11243,0,240,,
11243,11247,2,300,,
11243,11295,2,300,,
11243,11707,2,300,,
11243,12716,2,300,,
11243,6753,0,240,,
11247,11243,2,300,,
11247,11247,0,240,,
11247,11295,2,360,,
11247,11707,2,300,,
11247,12716,2,360,,
11247,6753,0,240,,
11248,11246,0,240,,
11248,11253,0,240,,
11248,11266,0,240,,
11248,11267,0,240,,
11248,11269,0,240,,
11248,11289,0,240,,
11248,11763,0,240,,
11248,11788,0,240,,
11251,11251,0,240,,
11251,11286,0,240,,
11251,11287,0,240,,
11252,11251,0,240,,
11252,11252,0,240,,
11252,11286,0,240,,
11252,11287,0,240,,
11254,11398,2,300,,
11254,6754,0,240,,
11255,11255,4,0,14043610,14043591
11255,11255,4,0,14043611,14043592
11255,11255,4,0,14043612,14043593
11255,11255,4,0,14043613,14043609
11255,11255,4,0,14043614,14043594
11255,11255,4,0,14043615,14043595
11255,11255,4,0,14043616,14043596
11255,11255,4,0,14043617,14043597
11255,11255,4,0,14043618,14043598
11255,11255,4,0,14043619,14043589
11255,11255,4,0,14043620,14043599
11255,11255,4,0,14043621,14043600
11255,11255,4,0,14043622,14043601
11255,11255,4,0,14043623,14043602
11255,11255,4,0,14043624,14043603
11255,11255,4,0,14043625,14043604
11255,11255,4,0,14043626,14043605
11255,11255,4,0,14043627,14043606
11255,11255,4,0,14043628,14043607
11255,11255,4,0,14043629,14043608
11255,11255,4,0,14043630,14043590
11255,11255,4,0,14043651,14043640
11255,11255,4,0,14043652,14043643
11255,11255,4,0,14043653,14043641
11255,11255,4,0,14043654,14043642
11255,11255,4,0,14043655,14043644
11255,11255,4,0,14043656,14043645
11255,11255,4,0,14043657,14043646
11255,11255,4,0,14043658,14043647
11255,11255,4,0,14043659,14043648
11255,11255,4,0,14043660,14043649
11255,11255,4,0,14043661,14043650
11255,11255,4,0,14043662,14043631
11255,11255,4,0,14043663,14043632
11255,11255,4,0,14043664,14043633
11255,11255,4,0,14043665,14043634
11255,11255,4,0,14043666,14043635
11255,11255,4,0,14043667,14043636
11255,11255,4,0,14043668,14043637
11255,11255,4,0,14043669,14043638
11255,11255,4,0,14043670,14043639
11256,11246,0,240,,
11256,11248,0,240,,
11256,11253,0,240,,
11256,11266,0,240,,
11256,11267,0,240,,
11256,11269,0,240,,
11256,11288,0,240,,
11256,11289,0,240,,
11256,11763,0,240,,
11256,11788,0,240,,
11258,10360,0,240,,
11258,11258,4,0,14010692,14003169
11258,11258,4,0,14010693,14003170
11258,11258,4,0,14010694,14003171
11258,11258,4,0,14010695,14003172
11258,11258,4,0,14010696,14003173
11258,11258,4,0,14010697,14003175
11258,11258,4,0,14010698,14003176
11258,11258,4,0,14010699,14003177
11258,11258,4,0,14010700,14003178
11258,11258,4,0,14010701,14003179
11258,11258,4,0,14010702,14003180
11258,11258,4,0,14010703,14003181
11258,11258,4,0,14010704,14003112
11258,11258,4,0,14010705,14003113
11258,11258,4,0,14010706,14003114
11258,11258,4,0,14010707,14003115
11258,11258,4,0,14010708,14003116
11258,11258,4,0,14010709,14003117
11258,11258,4,0,14010710,14003135
11258,11258,4,0,14010711,14003136
11258,11258,4,0,14010712,14003137
11258,11258,4,0,14010713,14003138
11258,11258,4,0,14010714,14003139
11258,11258,4,0,14010715,14003140
11258,11258,4,0,14010716,14003141
11258,11258,4,0,14010717,14003111
11258,11258,4,0,14010718,14003142
11258,11258,4,0,14010719,14003143
11258,11258,4,0,14010720,14003144
11258,11258,4,0,14010721,14003145
11258,11258,4,0,14010722,14003146
11258,11258,4,0,14010723,14003147
11258,11258,4,0,14010724,14003148
11258,11258,4,0,14010725,14003149
11258,11258,4,0,14010726,14003150
11258,11258,4,0,14010727,14003151
11258,11258,4,0,14010728,14003152
11258,11258,4,0,14010729,14003153
11258,11258,4,0,14010730,14003154
11258,11258,4,0,14010731,14003155
11258,11258,4,0,14010732,14003156
11258,11258,4,0,14010733,14003158
11258,11258,4,0,14010734,14003119
11258,11258,4,0,14010735,14003120
11258,11258,4,0,14010736,14003121
11258,11258,4,0,14010737,14003122
11258,11258,4,0,14010738,14003123
11258,11258,4,0,14010739,14003174
11258,11258,4,0,14010740,14003124
11258,11258,4,0,14010741,14003125
11258,11258,4,0,14010742,14003126
11258,11258,4,0,14010743,14003127
11258,11258,4,0,14010744,14003128
11258,11258,4,0,14010745,14003129
11258,11258,4,0,14010746,14003130
11258,11258,4,0,14010747,14003131
11258,11258,4,0,14010748,14003132
11258,11258,4,0,14010749,14003133
11258,11258,4,0,14010750,14003134
11258,11258,4,0,14010751,14003159
11258,11258,4,0,14010752,14003160
11258,11258,4,0,14010753,14003161
11258,11258,4,0,14010754,14003157
11258,11258,4,0,14010755,14003118
11258,11258,4,0,14010756,14003118
11258,11258,4,0,14010757,14003162
11258,11258,4,0,14010758,14003163
11258,11258,4,0,14010759,14003164
11258,11258,4,0,14010760,14003167
11258,11258,4,0,14010761,14003157
11258,11258,4,0,14010762,14003165
11258,11258,4,0,14010763,14003133
11258,11258,4,0,14010764,14003134
11258,11258,4,0,14010765,14003159
11258,11258,4,0,14010766,14003160
11258,11258,4,0,14010767,14003161
11258,11258,4,0,14010768,14003162
11258,11258,4,0,14010769,14003163
11258,11258,4,0,14010770,14003164
11258,11258,4,0,14010771,14003167
11258,11258,4,0,14010772,14003165
11258,11258,4,0,14010773,14003166
11258,11258,4,0,14010774,14003166
11258,11258,4,0,14010775,14003168
11258,11258,4,0,14010855,14003267
11258,11258,4,0,14010856,14003319
11258,11258,4,0,14010857,14003317
11258,11258,4,0,14010858,14003318
11258,11258,4,0,14010859,14003320
11258,11258,4,0,14010860,14003321
11258,11258,4,0,14010861,14003322
11258,11258,4,0,14010862,14003323
11258,11258,4,0,14010863,14003324
11258,11258,4,0,14010864,14003325
11258,11258,4,0,14010865,14003326
11258,11258,4,0,14010866,14003274
11258,11258,4,0,14010867,14003327
11258,11258,4,0,14010868,14003328
11258,11258,4,0,14010869,14003329
11258,11258,4,0,14010870,14003330
11258,11258,4,0,14010871,14003268
11258,11258,4,0,14010872,14003299
11258,11258,4,0,14010873,14003270
11258,11258,4,0,14010874,14003302
11258,11258,4,0,14010875,14003271
11258,11258,4,0,14010876,14003272
11258,11258,4,0,14010877,14003273
11258,11258,4,0,14010878,14003303
11258,11258,4,0,14010879,14003269
11258,11258,4,0,14010880,14003275
11258,11258,4,0,14010881,14003276
11258,11258,4,0,14010882,14003277
11258,11258,4,0,14010883,14003289
11258,11258,4,0,14010884,14003290
11258,11258,4,0,14010885,14003291
11258,11258,4,0,14010886,14003292
11258,11258,4,0,14010887,14003293
11258,11258,4,0,14010888,14003294
11258,11258,4,0,14010889,14003297
11258,11258,4,0,14010890,14003298
11258,11258,4,0,14010891,14003304
11258,11258,4,0,14010892,14003305
11258,11258,4,0,14010893,14003282
11258,11258,4,0,14010894,14003306
11258,11258,4,0,14010895,14003307
11258,11258,4,0,14010896,14003308
11258,11258,4,0,14010897,14003309
11258,11258,4,0,14010898,14003310
11258,11258,4,0,14010899,14003311
11258,11258,4,0,14010900,14003312
11258,11258,4,0,14010901,14003313
11258,11258,4,0,14010902,14003314
11258,11258,4,0,14010903,14003300
11258,11258,4,0,14010904,14003301
11258,11258,4,0,14010905,14003315
11258,11258,4,0,14010906,14003316
11258,11258,4,0,14010907,14003278
11258,11258,4,0,14010908,14003279
11258,11258,4,0,14010909,14003281
11258,11258,4,0,14010910,14003280
11258,11258,4,0,14010911,14003283
11258,11258,4,0,14010912,14003284
11258,11258,4,0,14010913,14003285
11258,11258,4,0,14010914,14003286
11258,11258,4,0,14010915,14003287
11258,11258,4,0,14010916,14003288
11258,11258,4,0,14010917,14003266
11258,11258,4,0,14010918,14003264
11258,11258,4,0,14010919,14003261
11258,11258,4,0,14010920,14003262
11258,11258,4,0,14010921,14003263
11258,11258,4,0,14010922,14003295
11258,11258,4,0,14010923,14003296
11258,11258,4,0,14010924,14003265
11258,11258,4,0,14011008,14003449
11258,11258,4,0,14011009,14003450
11258,11258,4,0,14011010,14003451
11258,11258,4,0,14011011,14003453
11258,11258,4,0,14011012,14003454
11258,11258,4,0,14011013,14003455
11258,11258,4,0,14011014,14003456
11258,11258,4,0,14011015,14003457
11258,11258,4,0,14011016,14003458
11258,11258,4,0,14011017,14003427
11258,11258,4,0,14011018,14003459
11258,11258,4,0,14011019,14003460
11258,11258,4,0,14011020,14003461
11258,11258,4,0,14011021,14003462
11258,11258,4,0,14011022,14003463
11258,11258,4,0,14011023,14003464
11258,11258,4,0,14011024,14003465
11258,11258,4,0,14011025,14003466
11258,11258,4,0,14011026,14003467
11258,11258,4,0,14011027,14003468
11258,11258,4,0,14011028,14003469
11258,11258,4,0,14011029,14003438
11258,11258,4,0,14011030,14003470
11258,11258,4,0,14011031,14003471
11258,11258,4,0,14011032,14003423
11258,11258,4,0,14011033,14003429
11258,11258,4,0,14011034,14003472
11258,11258,4,0,14011035,14003473
11258,11258,4,0,14011036,14003474
11258,11258,4,0,14011037,14003475
11258,11258,4,0,14011038,14003476
11258,11258,4,0,14011039,14003477
11258,11258,4,0,14011040,14003478
11258,11258,4,0,14011041,14003479
11258,11258,4,0,14011042,14003414
11258,11258,4,0,14011043,14003415
11258,11258,4,0,14011044,14003416
11258,11258,4,0,14011045,14003428
11258,11258,4,0,14011046,14003443
11258,11258,4,0,14011047,14003437
11258,11258,4,0,14011048,14003452
11258,11258,4,0,14011049,14003426
11258,11258,4,0,14011050,14003431
11258,11258,4,0,14011051,14003432
11258,11258,4,0,14011052,14003433
11258,11258,4,0,14011053,14003434
11258,11258,4,0,14011054,14003435
11258,11258,4,0,14011055,14003436
11258,11258,4,0,14011056,14003439
11258,11258,4,0,14011057,14003430
11258,11258,4,0,14011058,14003440
11258,11258,4,0,14011059,14003441
11258,11258,4,0,14011060,14003442
11258,11258,4,0,14011061,14003444
11258,11258,4,0,14011062,14003445
11258,11258,4,0,14011063,14003446
11258,11258,4,0,14011064,14003447
11258,11258,4,0,14011065,14003448
11258,11258,4,0,14011066,14003417
11258,11258,4,0,14011067,14003418
11258,11258,4,0,14011068,14003419
11258,11258,4,0,14011069,14003420
11258,11258,4,0,14011070,14003421
11258,11258,4,0,14011071,14003422
11258,11258,4,0,14011072,14003424
11258,11258,4,0,14011073,14003425
11258,11276,2,360,,
11258,11277,2,300,,
11259,12232,2,360,,
11259,12240,2,360,,
11260,10360,0,240,,
11260,11221,2,420,,
11260,11227,2,420,,
11260,11258,0,240,,
11260,11260,0,240,,
11260,11260,4,0,14003041,14010624
11260,11260,4,0,14003042,14010666
11260,11260,4,0,14003043,14010667
11260,11260,4,0,14003044,14010668
11260,11260,4,0,14003045,14010669
11260,11260,4,0,14003046,14010670
11260,11260,4,0,14003047,14010671
11260,11260,4,0,14003048,14010672
11260,11260,4,0,14003049,14010673
11260,11260,4,0,14003050,14010674
11260,11260,4,0,14003051,14010615
11260,11260,4,0,14003052,14010675
11260,11260,4,0,14003053,14010677
11260,11260,4,0,14003054,14010678
11260,11260,4,0,14003055,14010679
11260,11260,4,0,14003056,14010680
11260,11260,4,0,14003057,14010681
11260,11260,4,0,14003058,14010682
11260,11260,4,0,14003059,14010683
11260,11260,4,0,14003060,14010684
11260,11260,4,0,14003061,14010685
11260,11260,4,0,14003062,14010686
11260,11260,4,0,14003063,14010687
11260,11260,4,0,14003064,14010688
11260,11260,4,0,14003065,14010689
11260,11260,4,0,14003066,14010690
11260,11260,4,0,14003067,14010691
11260,11260,4,0,14003068,14010609
11260,11260,4,0,14003069,14010610
